[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-05-28 09:10:18.066] [COMPLETE] ● https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 2.02s 
[2026-05-28 09:10:19.114] [FETCH]... ↓ https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 1.24s 
[2026-05-28 09:10:19.139] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:19.160] [COMPLETE] ● https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 1.29s 
[2026-05-28 09:10:20.492] [FETCH]... ↓ https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 1.30s 
[2026-05-28 09:10:20.542] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:20.566] [COMPLETE] ● https://wallstreetcn.com/articles/3773243                                                            | ✓ | ⏱: 1.37s 
[2026-05-28 09:10:20.798] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 2.49s 
[2026-05-28 09:10:20.818] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:20.835] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 2.53s 
[2026-05-28 09:10:39.765] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 18.12s 
[2026-05-28 09:10:39.772] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:39.790] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 18.14s 
[2026-05-28 09:10:39.834] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 18.97s 
[2026-05-28 09:10:39.888] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:10:39.913] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245966                                                  | ✓ | ⏱: 19.05s 
[2026-05-28 09:10:41.990] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 1.84s 
[2026-05-28 09:10:42.007] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:42.020] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 1.87s 
[2026-05-28 09:10:42.288] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 2.47s 
[2026-05-28 09:10:42.342] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:10:42.367] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243269                                                  | ✓ | ⏱: 2.55s 
[2026-05-28 09:10:43.930] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 1.89s 
[2026-05-28 09:10:44.041] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 0.10s 
[2026-05-28 09:10:44.067] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243463                                                  | ✓ | ⏱: 2.03s 
[2026-05-28 09:10:44.785] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 1.89s 
[2026-05-28 09:10:44.805] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:44.823] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 1.93s 
[2026-05-28 09:10:47.056] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 2.20s 
[2026-05-28 09:10:47.133] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 0.06s 
[2026-05-28 09:10:47.164] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33244040                                                  | ✓ | ⏱: 2.31s 
[2026-05-28 09:10:47.509] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 2.29s 
[2026-05-28 09:10:47.589] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 0.07s 
[2026-05-28 09:10:47.608] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 2.39s 
[2026-05-28 09:10:49.859] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 2.22s 
[2026-05-28 09:10:49.900] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:49.924] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33237036                                                  | ✓ | ⏱: 2.29s 
[2026-05-28 09:10:50.255] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 2.08s 
[2026-05-28 09:10:50.272] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:50.285] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 2.11s 
[2026-05-28 09:10:52.289] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 1.98s 
[2026-05-28 09:10:52.339] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:10:52.365] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247069                                                  | ✓ | ⏱: 2.06s 
[2026-05-28 09:10:52.864] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 1.91s 
[2026-05-28 09:10:52.882] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:52.894] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 1.94s 
[2026-05-28 09:10:54.984] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 1.95s 
[2026-05-28 09:10:55.002] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:55.015] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 1.98s 
[2026-05-28 09:10:55.390] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 2.47s 
[2026-05-28 09:10:55.478] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 0.07s 
[2026-05-28 09:10:55.508] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33246062                                                  | ✓ | ⏱: 2.59s 
[2026-05-28 09:10:56.974] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 1.94s 
[2026-05-28 09:10:57.027] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:10:57.057] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33244504                                                  | ✓ | ⏱: 2.02s 
[2026-05-28 09:10:58.450] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 2.03s 
[2026-05-28 09:10:58.469] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:58.483] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 2.06s 
[2026-05-28 09:11:00.365] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 1.86s 
[2026-05-28 09:11:00.419] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:11:00.446] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247829                                                  | ✓ | ⏱: 1.94s 
[2026-05-28 09:11:01.794] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 2.13s 
[2026-05-28 09:11:01.811] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:11:01.822] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 2.16s 
[2026-05-28 09:11:04.021] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 1.92s 
[2026-05-28 09:11:04.043] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:11:04.060] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 1.96s 
[2026-05-28 09:11:04.099] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 2.25s 
[2026-05-28 09:11:04.153] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:11:04.179] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33246512                                                  | ✓ | ⏱: 2.33s 
[2026-05-28 09:11:06.318] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 1.90s 
[2026-05-28 09:11:06.336] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:11:06.349] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 1.93s 
[2026-05-28 09:11:06.600] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 2.51s 
[2026-05-28 09:11:06.667] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 0.05s 
[2026-05-28 09:11:06.693] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33247029                                                  | ✓ | ⏱: 2.61s 
[2026-05-28 09:11:08.253] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 1.88s 
[2026-05-28 09:11:08.311] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 0.04s 
[2026-05-28 09:11:08.337] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245668                                                  | ✓ | ⏱: 1.97s 
[2026-05-28 09:11:09.655] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 2.18s 
[2026-05-28 09:11:09.670] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:11:09.683] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 2.21s 
[2026-05-28 09:11:11.718] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 1.97s 
[2026-05-28 09:11:11.735] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 0.00s 
[2026-05-28 09:11:11.748] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 2.00s 
[2026-05-28 09:11:12.003] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 2.30s 
[2026-05-28 09:11:12.074] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 0.06s 
[2026-05-28 09:11:12.105] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33245808                                                  | ✓ | ⏱: 2.40s 
[2026-05-28 09:11:14.103] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 2.33s 
[2026-05-28 09:11:14.254] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 0.13s 
[2026-05-28 09:11:14.294] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33237889                                                  | ✓ | ⏱: 2.52s 
[2026-05-28 09:11:14.585] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 2.20s 
[2026-05-28 09:11:14.609] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:14.623] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 2.24s 
[2026-05-28 09:11:16.768] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 2.03s 
[2026-05-28 09:11:16.787] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:16.807] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 2.07s 
[2026-05-28 09:11:17.084] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 2.42s 
[2026-05-28 09:11:17.168] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 0.07s 
[2026-05-28 09:11:17.204] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243509                                                  | ✓ | ⏱: 2.54s 
[2026-05-28 09:11:19.002] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 2.16s 
[2026-05-28 09:11:19.089] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 0.07s 
[2026-05-28 09:11:19.123] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243453                                                  | ✓ | ⏱: 2.28s 
[2026-05-28 09:11:20.596] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 2.45s 
[2026-05-28 09:11:20.615] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:20.628] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 2.49s 
[2026-05-28 09:11:23.178] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 2.18s 
[2026-05-28 09:11:23.203] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:23.224] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 2.22s 
[2026-05-28 09:11:23.279] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 2.62s 
[2026-05-28 09:11:23.380] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 0.08s 
[2026-05-28 09:11:23.413] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33234754                                                  | ✓ | ⏱: 2.76s 
[2026-05-28 09:11:25.828] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 2.12s 
[2026-05-28 09:11:25.838] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:25.853] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 2.14s 
[2026-05-28 09:11:26.112] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 2.85s 
[2026-05-28 09:11:26.190] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 0.06s 
[2026-05-28 09:11:26.229] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243314                                                  | ✓ | ⏱: 2.97s 
[2026-05-28 09:11:28.306] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 2.42s 
[2026-05-28 09:11:28.395] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 0.07s 
[2026-05-28 09:11:28.426] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243183                                                  | ✓ | ⏱: 2.54s 
[2026-05-28 09:11:28.901] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 2.38s 
[2026-05-28 09:11:28.927] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:28.940] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 2.42s 
[2026-05-28 09:11:31.034] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 2.06s 
[2026-05-28 09:11:31.106] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 0.06s 
[2026-05-28 09:11:31.136] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33243682                                                  | ✓ | ⏱: 2.17s 
[2026-05-28 09:11:31.600] [FETCH]... ↓ https://www.cls.cn/detail/2383524                                                                    | ✓ | ⏱: 2.90s 
[2026-05-28 09:11:31.624] [SCRAPE].. ◆ https://www.cls.cn/detail/2383524                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:31.637] [COMPLETE] ● https://www.cls.cn/detail/2383524                                                                    | ✓ | ⏱: 2.94s 
[2026-05-28 09:11:34.338] [FETCH]... ↓ https://www.cls.cn/detail/2383218                                                                    | ✓ | ⏱: 2.36s 
[2026-05-28 09:11:34.353] [SCRAPE].. ◆ https://www.cls.cn/detail/2383218                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:34.374] [COMPLETE] ● https://www.cls.cn/detail/2383218                                                                    | ✓ | ⏱: 2.40s 
[2026-05-28 09:11:34.906] [FETCH]... ↓ https://www.cls.cn/detail/2383514                                                                    | ✓ | ⏱: 2.98s 
[2026-05-28 09:11:34.935] [SCRAPE].. ◆ https://www.cls.cn/detail/2383514                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:34.954] [COMPLETE] ● https://www.cls.cn/detail/2383514                                                                    | ✓ | ⏱: 3.03s 
[2026-05-28 09:11:37.027] [FETCH]... ↓ https://www.cls.cn/detail/2383376                                                                    | ✓ | ⏱: 2.37s 
[2026-05-28 09:11:37.052] [SCRAPE].. ◆ https://www.cls.cn/detail/2383376                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:37.070] [COMPLETE] ● https://www.cls.cn/detail/2383376                                                                    | ✓ | ⏱: 2.41s 
[2026-05-28 09:11:39.081] [FETCH]... ↓ https://www.cls.cn/detail/2383556                                                                    | ✓ | ⏱: 2.32s 
[2026-05-28 09:11:39.105] [SCRAPE].. ◆ https://www.cls.cn/detail/2383556                                                                    | ✓ | ⏱: 0.01s 
[2026-05-28 09:11:39.119] [COMPLETE] ● https://www.cls.cn/detail/2383556                                                                    | ✓ | ⏱: 2.35s 
